User Name,User ID,Tweet Date,Time,Tweet Content,Media,Tweet Link
RailwaySeva,945918632642494464,2025-01-07,14:05:14,"@patelam30 We're listening and will do our best to help. The concerned officials are being notified
 @Drmpune
We request you to please share the journey details (PNR/UTS No.) and Mobile No. with us preferably via DM so that immediate action can be taken on your complaint. You may also raise… https://t.co/9GaLIAXgsg https://t.co/utEzIqB89U",False,https://twitter.com/RailwaySeva/status/1876631183708295354
RailwaySeva,945918632642494464,2025-01-07,14:05:07,"@harshitaggrwl For necessary action escalated to the concerned official 
 @Drmmumbaicr
We regret the experience you had. Please share your Mobile no. preferably via DM to enable us to take immediate action. You may also raise your concern directly on https://t.co/JNjgaq1zyT or dial 139 for… https://t.co/9Xnfvustzs https://t.co/utEzIqB89U",False,https://twitter.com/RailwaySeva/status/1876631150380405070
RailwaySeva,945918632642494464,2025-01-07,14:04:57,@saksham_sanghi Please share your mobile no. preferably via DM to enable us to take immediate action. You may also raise your concern directly on https://t.co/JNjgaq1zyT or dial 139 for speedy redressal. https://t.co/utEzIqB89U,False,https://twitter.com/RailwaySeva/status/1876631109498507455
RailwaySeva,945918632642494464,2025-01-07,14:04:21,"@VikVkrant15 For necessary action escalated to the concerned official 
@DrmDnr
 we request you to please share the journey details (PNR/UTS No.) and Mobile No. with us preferably via DM so that immediate action can be taken on your complaint. You may also raise your concern directly on… https://t.co/rwssLk7XMG https://t.co/utEzIqB89U",False,https://twitter.com/RailwaySeva/status/1876630960101552418
RailwaySeva,945918632642494464,2025-01-07,14:04:04,@abhipoo we request you to please share the journey details (PNR/UTS No.) and Mobile No. with us preferably via DM so that immediate action can be taken on your complaint. You may also raise your concern directly on https://t.co/JNjgaq1zyT or dial 139 for speedy redressal. https://t.co/utEzIqB89U,False,https://twitter.com/RailwaySeva/status/1876630889184346343
RailwaySeva,945918632642494464,2025-01-07,14:04:04,@rrbyadav हम आपसे अनुरोध करते हैं कि कृपया यात्रा विवरण (पीएनआर / यूटीएस नंबर) और मोबाइल नंबर वैकल्पिक रूप से DM के माध्यम से हमारे साथ साझा करें। आप अपनी शिकायत सीधे https://t.co/AmJ5X4ydf8 पर भी शीघ्र निवारण के लिए रजिस्टर कर सकते हैं। https://t.co/utEzIqB89U,False,https://twitter.com/RailwaySeva/status/1876630888756482145
RailwaySeva,945918632642494464,2025-01-07,14:03:59,"@abhipoo For necessary action escalated to the concerned official   
 @Drm_lko",False,https://twitter.com/RailwaySeva/status/1876630865398436125
RailwaySeva,945918632642494464,2025-01-07,14:03:16,"@CAVijendraJain1 We're listening and will do our best to help. The concerned officials are being notified
 @Drmbct
We request you to please share Mobile No. with us preferably via DM. You may also raise your concern directly on https://t.co/JNjgaq1zyT or dial 139 for speedy redressal. https://t.co/utEzIqB89U",False,https://twitter.com/RailwaySeva/status/1876630686091956415
RailwaySeva,945918632642494464,2025-01-07,14:03:13,"@Arifghani123 संबंधित अधिकारियों को सूचित किया जा रहा है।
 @drm_sonpur
हम आपसे अनुरोध करते हैं कि कृपया यात्रा विवरण (पीएनआर / यूटीएस नंबर) और मोबाइल नंबर वैकल्पिक रूप से DM के माध्यम से हमारे साथ साझा करें। आप अपनी शिकायत सीधे https://t.co/AmJ5X4ydf8 पर भी शीघ्र निवारण के लिए रजिस्टर कर सकते… https://t.co/xJqtBGTmoA https://t.co/utEzIqB89U",False,https://twitter.com/RailwaySeva/status/1876630674557579640
RailwaySeva,945918632642494464,2025-01-07,14:02:53,@bsk_360 We are still waiting for details (Mobile Number and PNR/UTS No.) so that we register your complaint and expedite resolution. https://t.co/utEzIqB89U,False,https://twitter.com/RailwaySeva/status/1876630589673242913
